t,capcost,fom,vom,cf_improvement
2010,7134.47322,35.6723661,0,0.926146827
2011,6626.226717,35.06566801,0,0.926146827
2012,6117.98021,34.45896991,0,0.926146827
2013,4246.109494,33.85227179,0,0.926146827
2014,3195.163027,33.2455737,0,0.926146827
2015,3190.13065,32.6388756,0,0.926146827
2016,2777.886445,32.0321775,0,0.926146827
2017,1699.682398,30.81878129,0,0.926146827
2018,1629.132468,28.50901493,0,0.926146827
2019,1558.582537,26.19924857,0,0.926146827
2020,1473.096512,25.58148089,0,0.926146827
2021,1345.480289,24.33122164,0,0.926146827
2022,1366.598204,23.76560346,0,0.926146827
2023,1434.792072,22.21880245,0,0.93182784
2024,1378.922112,21.60888882,0,0.937508853
2025,1378.922112,21.60888882,0,0.937508853
2026,1378.922112,21.60888882,0,0.937508853
2027,1378.922112,21.60888882,0,0.937508853
2028,1378.922112,21.60888882,0,0.937508853
2029,1378.922112,21.60888882,0,0.937508853
2030,1378.922112,21.60888882,0,0.937508853
2031,1378.922112,21.60888882,0,0.937508853
2032,1378.922112,21.60888882,0,0.937508853
2033,1378.922112,21.60888882,0,0.937508853
2034,1378.922112,21.60888882,0,0.937508853
2035,1378.922112,21.60888882,0,0.937508853
2036,1378.922112,21.60888882,0,0.937508853
2037,1378.922112,21.60888882,0,0.937508853
2038,1378.922112,21.60888882,0,0.937508853
2039,1378.922112,21.60888882,0,0.937508853
2040,1378.922112,21.60888882,0,0.937508853
2041,1378.922112,21.60888882,0,0.937508853
2042,1378.922112,21.60888882,0,0.937508853
2043,1378.922112,21.60888882,0,0.937508853
2044,1378.922112,21.60888882,0,0.937508853
2045,1378.922112,21.60888882,0,0.937508853
2046,1378.922112,21.60888882,0,0.937508853
2047,1378.922112,21.60888882,0,0.937508853
2048,1378.922112,21.60888882,0,0.937508853
2049,1378.922112,21.60888882,0,0.937508853
2050,1378.922112,21.60888882,0,0.937508853
