tech,year,lcoe_base
wind-ons,2022,33.04181395
wind-ons,2023,34.47051781
wind-ons,2024,32.49719387
wind-ons,2025,30.60014924
wind-ons,2026,29.81034435
wind-ons,2027,29.03213901
wind-ons,2028,28.26527955
wind-ons,2029,27.50951962
wind-ons,2030,26.76461999
wind-ons,2031,26.48965316
wind-ons,2032,26.21513014
wind-ons,2033,25.94104983
wind-ons,2034,25.66741119
wind-ons,2035,25.39421314
wind-ons,2036,25.12145462
wind-ons,2037,24.84913456
wind-ons,2038,24.57725192
wind-ons,2039,24.30580564
wind-ons,2040,24.03479466
wind-ons,2041,23.76421795
wind-ons,2042,23.49407446
wind-ons,2043,23.22436314
wind-ons,2044,22.95508298
wind-ons,2045,22.68623292
wind-ons,2046,22.41781194
wind-ons,2047,22.14981902
wind-ons,2048,21.88225313
wind-ons,2049,21.61511325
wind-ons,2050,21.34839837
wind-ofs,2022,120.5254272
wind-ofs,2023,115.3521461
wind-ofs,2024,111.7232518
wind-ofs,2025,108.9901157
wind-ofs,2026,106.7799135
wind-ofs,2027,104.9562256
wind-ofs,2028,98.02549082
wind-ofs,2029,91.33034691
wind-ofs,2030,84.8095987
wind-ofs,2031,77.75321521
wind-ofs,2032,71.00501969
wind-ofs,2033,69.77642358
wind-ofs,2034,68.71942454
wind-ofs,2035,67.76372779
wind-ofs,2036,67.14444577
wind-ofs,2037,66.5495617
wind-ofs,2038,66.00234138
wind-ofs,2039,65.48491326
wind-ofs,2040,65.00753946
wind-ofs,2041,64.553796
wind-ofs,2042,64.12135391
wind-ofs,2043,63.72140511
wind-ofs,2044,63.32574568
wind-ofs,2045,62.9591605
wind-ofs,2046,62.60716029
wind-ofs,2047,62.26854677
wind-ofs,2048,61.95509231
wind-ofs,2049,61.64027474
wind-ofs,2050,61.34871671
upv,2022,46.83847599
upv,2023,49.0151942
upv,2024,46.99917725
upv,2025,45.00891914
upv,2026,43.04390981
upv,2027,41.10365359
upv,2028,39.1876686
upv,2029,37.29548627
upv,2030,35.42665079
upv,2031,33.58071865
upv,2032,31.75725818
upv,2033,29.95584913
upv,2034,28.17608223
upv,2035,26.41755884
upv,2036,25.93020828
upv,2037,25.44683877
upv,2038,24.96740124
upv,2039,24.49184747
upv,2040,24.02013001
upv,2041,23.5522022
upv,2042,23.08801814
upv,2043,22.62753268
upv,2044,22.17070139
upv,2045,21.71748057
upv,2046,21.26782722
upv,2047,20.82169902
upv,2048,20.37905433
upv,2049,19.93985217
upv,2050,19.50405219
nuclear,2022,84.3967952
nuclear,2023,84.3967952
nuclear,2024,84.3967952
nuclear,2025,84.3967952
nuclear,2026,84.3967952
nuclear,2027,84.3967952
nuclear,2028,84.3967952
nuclear,2029,84.3967952
nuclear,2030,84.3967952
nuclear,2031,83.97000991
nuclear,2032,83.54322463
nuclear,2033,83.11643934
nuclear,2034,82.68965406
nuclear,2035,82.26286877
nuclear,2036,80.98251292
nuclear,2037,79.70215706
nuclear,2038,78.42180121
nuclear,2039,77.14144535
nuclear,2040,75.86108949
nuclear,2041,75.00751892
nuclear,2042,74.15394835
nuclear,2043,73.30037778
nuclear,2044,72.44680721
nuclear,2045,71.59323664
nuclear,2046,70.73966607
nuclear,2047,69.8860955
nuclear,2048,69.03252493
nuclear,2049,68.17895436
nuclear,2050,67.32538379
gas-cc,2022,63.03790497
gas-cc,2023,53.89116043
gas-cc,2024,46.44376278
gas-cc,2025,42.33531153
gas-cc,2026,39.06744464
gas-cc,2027,36.99443671
gas-cc,2028,36.03723094
gas-cc,2029,35.81757461
gas-cc,2030,35.8502928
gas-cc,2031,36.08059524
gas-cc,2032,36.39168033
gas-cc,2033,36.97691724
gas-cc,2034,37.45961066
gas-cc,2035,37.99149715
gas-cc,2036,38.07984297
gas-cc,2037,38.25618608
gas-cc,2038,39.00174386
gas-cc,2039,38.69741817
gas-cc,2040,39.4421809
gas-cc,2041,39.76679478
gas-cc,2042,39.5346828
gas-cc,2043,39.10214782
gas-cc,2044,38.5637127
gas-cc,2045,38.38440495
gas-cc,2046,38.1126132
gas-cc,2047,37.79871048
gas-cc,2048,37.58171434
gas-cc,2049,37.12855645
gas-cc,2050,36.98881705
coal,2022,71.55148262
coal,2023,70.63571673
coal,2024,70.21505815
coal,2025,69.82268543
coal,2026,69.35120617
coal,2027,68.84322986
coal,2028,68.22081465
coal,2029,67.80494962
coal,2030,67.39294809
coal,2031,66.96612924
coal,2032,66.28301091
coal,2033,65.47146217
coal,2034,65.1789413
coal,2035,65.15871658
coal,2036,64.74690544
coal,2037,64.27444884
coal,2038,63.91947549
coal,2039,63.49113909
coal,2040,63.08398779
coal,2041,62.68218277
coal,2042,62.25943911
coal,2043,61.84807185
coal,2044,61.42930663
coal,2045,61.0157161
coal,2046,60.62383268
coal,2047,60.18724766
coal,2048,59.73877534
coal,2049,59.36027637
coal,2050,58.94182201
